タグ,Diff_R,Diff_G,Diff_B,Diff_A,Spec_R,Spec_G,Spec_B,Spec_A,スペキュラ強度,Emsv_R,Emsv_G,Emsv_B,エミッシブ,ディフューズマップ,ノーマルマップ,スペキュラマップ,ブレンドモード
Building_Tower_1_TopPillar,1,1,1,1,1,1,1,1,150,0,0.5,0.5,1,Resource/Model/Building/03/Textures/BL_TW01_tex01.png,Resource/Model/Building/03/Textures/BL_TW01_tex01_normal.png,-1,0
Building_Tower_1_TopToroid,1,1,1,1,1,1,1,1,150,0,0.25,0.5,1,Resource/Model/Building/03/Textures/BL_TW01_tex01.png,Resource/Model/Building/03/Textures/BL_TW01_tex01_normal.png,-1,0
Building_Tower_1_Top,1,1,1,1,1,1,1,1,150,1,1,0,1.5,Resource/Model/Building/03/Textures/BL_TW01_tex01.png,Resource/Model/Building/03/Textures/BL_TW01_tex01_normal.png,-1,0
Building_Tower_1_Wall,1,1,1,1,1,1,1,1,50,0.1,0.1,0.1,1,Resource/Model/Building/03/Textures/BL_TW01_tex03.jpg,Resource/Model/Building/03/Textures/BL_TW01_tex03_normal.png,-1,0
Building_Tower_1_BaseGround,1,1,1,1,1,1,1,1,50,0.1,0.1,0.1,1,Resource/Model/Building/03/Textures/BL_TW01_tex02.jpg,Resource/Model/Building/03/Textures/BL_TW01_tex02_normal.png,-1,0
MotherShip,1,1,1,1,1,1,1,1,150,0,0,0,0,Resource/Texture/metal_plate_02_diff_2k.jpg,Resource/Texture/DefaultN_Map.png,-1,0
Ground,1,1,1,1,1,1,1,1,50,1,1,1,0,Resource/Texture/Materials/brick_moss_001_diff_2k.png,Resource/Texture/Materials/brick_moss_001_nor_dx_2k.png,-1,0
Billboard,1,1,1,1,1,1,1,1,50,0,0,0,0,Resource/Texture/Billboard.png,-1,-1,1
Recovery_Billboard,1,1,1,1,1,1,1,1,50,1,0,0,5,Resource/Texture/Item/Recovery.png,-1,-1,1
RecoveryPlus_Billboard,1,1,1,1,1,1,1,1,50,1,0,0,5,Resource/Texture/Item/RecoveryPlus.png,-1,-1,1
WeaponBox_Billboard,1,1,1,1,1,1,1,1,50,1,0,0,5,Resource/Texture/Item/WeaponBox.png,-1,-1,1
Armor_Billboard,1,1,1,1,1,1,1,1,50,1,0,0,5,Resource/Texture/Item/Armor.png,-1,-1,1
LaserPointBillboard,5,1,1,1,1,1,1,1,50,1,0,0,1,Resource/Texture/Particle/Particle04_bokashi_hard.png,-1,-1,1
PointLight,1,1,1,1,1,1,1,1,50,1,1,1,0,Resource/Texture/Wall_W040.jpg,Resource/Texture/Wall_W040_n.png,-1,0
Block,1,1,1,1,1,1,1,1,120,1,1,1,0,Resource/Texture/Materials/concrete_pavement_diff_2k.png,Resource/Texture/Materials/concrete_pavement_nor_dx_2k.png,-1,0
Decal_BulletHole,1,1,1,1,1,1,1,1,100,1,1,1,1,Resource/Texture/Particle/BulletHole.png,Resource/Texture/Particle/BulletHole_n.png,-1,0
Decal_Ant_Splash,1,1,1,1,1,1,1,1,100,1,1,1,1.5,Resource/Texture/Particle/Ant_Hit1.png,Resource/Texture/Particle/Ant_Hit1_n.png,-1,1
RocketLauncher,1,1,1,1,1,1,1,1,100,0,0,0,0,Resource/Model/Weapon/RocketLauncher/Simple rocket launcher Tex.png,Resource/Texture/DefaultN_Map.png,-1,0
Bullet_01,2,2,1,1,1,1,1,1,100,1,1,1,1,Resource/Texture/Particle/Particle04_bokashi_hard.png,-1,-1,1
Bullet_02,1,1,10,1,1,1,1,1,100,1,1,1,1,Resource/Texture/Particle/Particle04_bokashi_hard.png,-1,-1,1
Bullet_03,1,10,1,1,1,1,1,1,100,1,1,1,1,Resource/Texture/Particle/Particle04_bokashi_hard.png,-1,-1,1
Bullet_04,10,1,1,1,1,1,1,1,100,1,1,1,1,Resource/Texture/Particle/Particle04_bokashi_hard.png,-1,-1,1
Acid_01,1,1,1,1,1,1,1,1,100,0,0,0,0,Resource/Texture/Particle/Ant_Hit1.png,Resource/Texture/Particle/Ant_Hit1_n.png,-1,1
Acid_02,5,1,1,1,1,1,1,1,100,0,0,0,0,Resource/Texture/Particle/Ant_Hit1.png,Resource/Texture/Particle/Ant_Hit1_n.png,-1,1
Acid_03,1,5,1,1,1,1,1,1,100,0,0,0,0,Resource/Texture/Particle/Ant_Hit1.png,Resource/Texture/Particle/Ant_Hit1_n.png,-1,1
Flame_01,3,2,2,1,1,1,1,1,100,1,1,1,1,Resource/Effect/Texture/flamea.png,-1,-1,1
Objector_body,0,1,0,1,1,1,1,1,100,0,1,0,3,Resource/Model/Enemy/Octahedron/textures/shieldSurface.jpg,-1,-1,0
Objector_shield,1,1,1,1,1,1,1,1,100,0,0,0,0,Resource/Model/Enemy/Octahedron/textures/shieldSurface.jpg,Resource/Model/Enemy/Octahedron/textures/shieldSurface_normal.png,-1,0
Grass,1,1,1,1,1,1,1,1,100,0,0,0,0,Resource/Texture/Materials/grass.png,-1,-1,1
